family,n,degree,K,schedule,beta,state_max,original_readout_mae,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
paths,12,2,2,fixed8,8.0,0.027429300694919154,0.03445322880388191,0.053958629886274645,0.029966824581388735,0.017994402975144208,0.017986941957397917,0.01128132135565274,0
paths,12,2,2,degree,3.295836866004329,0.48696086373294367,0.20676751676217642,0.48417143338922664,0.24750282724049688,0.1816250226612992,0.1668885685294114,0.1014998946931931,0
paths,12,2,2,order,3.7273599746820008,0.4104247877712776,0.19589155393389932,0.4028240873723674,0.2130130217106784,0.14432491560314564,0.13689685093329432,0.08357105534087561,0
paths,12,2,2,order_strong,7.4547199493640015,0.03909052490984662,0.044870007001910205,0.07047345578746911,0.03912768960848608,0.023510911753281682,0.023493268087882175,0.014717227948272201,0
barbell,8,4,3,fixed8,8.0,0.031540284629783776,0.014282639045959222,0.07757806552508395,0.03443079028517192,0.026173212660422607,0.021530889438292122,0.005899099586068629,0
barbell,8,4,3,degree,4.828313737302301,0.30395217545193254,0.10270031769176602,0.3897810492723077,0.17400889257466876,0.13803421504353386,0.10931214844334214,0.030590269535348102,0
barbell,8,4,3,order,3.1191623125197534,0.6474153047662909,0.2180187145349735,0.822790656791295,0.37122240214648033,0.29347736829297455,0.23076239031675255,0.06955962274226699,0
barbell,8,4,3,order_strong,6.238324625039507,0.11274076966533718,0.04066906143840118,0.1731234021128074,0.07954862386637347,0.05847447988733778,0.04746842058469358,0.01304660411264627,0
cycle,4,2,2,fixed8,8.0,0.017986209962091562,0.011986160977439986,0.01800040000227776,0.017981479948696144,0.005981213280511266,0.005981213280511266,0.003349407330581866,0
cycle,4,2,2,degree,3.295836866004329,0.16139047779640892,0.10056215291673531,0.18536529532718227,0.15339887195281796,0.029822008401363176,0.029822008401363176,0.016407892494893273,0
cycle,4,2,2,order,2.0794415416798357,0.2612038749637414,0.13140326121217605,0.40260149889868835,0.2140713336520926,0.05432966561369956,0.05432966561369956,0.03185858667858554,0
cycle,4,2,2,order_strong,4.1588830833596715,0.11111111111111116,0.07221254390576215,0.11729273102124438,0.10905057114106675,0.030855417126903983,0.030855417126903983,0.016963607739303388,0
star,4,3,2,fixed8,8.0,0.017986209962091562,0.009029385720005556,0.053958629886274645,0.03596525133035566,0.029982478612187613,0.026980339362362493,0.012657707743073038,0
star,4,3,2,degree,4.1588830833596715,0.11111111111111116,0.0575763138984271,0.3333333333333335,0.2187988316484222,0.1884501607910578,0.1681407395016754,0.08157591414504603,0
star,4,3,2,order,2.0794415416798357,0.2612038749637414,0.16343694679113613,0.7836116248912242,0.44334728725115236,0.5125379336248139,0.428542562797149,0.23735636040144342,0
star,4,3,2,order_strong,4.1588830833596715,0.11111111111111116,0.0575763138984271,0.3333333333333335,0.2187988316484222,0.1884501607910578,0.1681407395016754,0.08157591414504603,0
paths,36,2,2,fixed8,8.0,0.027429300694919154,0.08797845405312671,0.053958629886274645,0.029966824581388735,0.017994402975144208,0.017986941957397917,0.01128132135565274,0
paths,36,2,2,degree,3.295836866004329,0.48696086373294367,0.2383636055547283,0.48417143338922664,0.24750282724049688,0.1816250226612992,0.16688856852941136,0.1014998946931931,0
paths,36,2,2,order,5.375278407684165,0.15971963456650756,0.16640299331522584,0.19112007148882415,0.10546589107920575,0.06433112766247273,0.06382734696995336,0.03961742392039522,0
paths,36,2,2,order_strong,10.75055681536833,0.005342773943253394,0.026124589465602383,0.01382488479262678,0.007680348995880326,0.004608404495437091,0.0046082984613785944,0.0028986442637229937,0
barbell,24,12,3,fixed8,8.0,0.09335649807009111,0.04103769125772918,0.11135802145351281,0.05859919177141998,0.045250028443506896,0.04169374159116834,0.010707855634373042,0
barbell,24,12,3,degree,7.694848072384611,0.12802054378051841,0.05625142284280862,0.14891080354790542,0.07670022462734251,0.06195094155999992,0.05700863632453945,0.014751529450834577,0
barbell,24,12,3,order,4.767080745521919,0.9203157684241123,0.40406200863168246,1.0047522357528034,0.48779892459728197,0.4437506719985136,0.4071213009262003,0.13084932177368835,0
barbell,24,12,3,order_strong,9.534161491043838,0.021834003282768025,0.01001591951938228,0.03293698803003142,0.018885345475061113,0.011920900399980727,0.011097525972320407,0.0028259562363120807,0
cycle,12,2,6,fixed8,8.0,0.045574556901638225,0.04856195810239683,0.1651151418709338,0.05674429142879589,0.05020127358400739,0.05020127358400702,0.0047600168450575115,0
cycle,12,2,6,degree,3.295836866004329,0.9997350489994726,1.1750128449849193,3.60885046354759,1.2531406976825308,1.1903383389410265,1.1903383389410267,0.1746621327807811,0
cycle,12,2,6,order,3.7273599746820008,0.9999100713877637,1.1059812303856846,3.4834976723470095,1.169379914237003,1.1184128713700017,1.1184128713700014,0.15862924466208003,0
cycle,12,2,6,order_strong,7.4547199493640015,0.11471358240022182,0.08335410398963798,0.30714915029823864,0.09404354793666697,0.08549528807167306,0.08549528807167246,0.008196315916095745,0
