graph,nodes,max_degree,steps,perturbation,eta,delta,beta,beta_multiplier,certified,max_state_error,max_ic_error,ic_bound,max_local_state_jacobian_norm,conditional_jacobian_bound
path8,8,2,64,adversarial,0.0,0.001,6.948445451356693,0.5,False,0.3375724046788987,0.18054292002857242,0.2196796338672769,4.255247667609667,0.020824491017716006
path8,8,2,64,adversarial,0.0,0.001,13.896890902713386,1.0,True,0.0009999945105073481,0.0018385426963853924,0.2196796338672769,0.04164875363251056,0.04164898203543201
path8,8,2,64,adversarial,0.0,0.001,20.845336354070078,1.5,True,2.980500884781967e-05,5.5328307879687344e-05,0.2196796338672769,0.0018638307502587426,0.062473473053148015
path8,8,2,64,equivariant_residual,0.0,0.001,6.948445451356693,0.5,False,0.3375724046788987,0.18054292002857242,0.2196796338672769,4.255247667609667,0.020824491017716006
path8,8,2,64,equivariant_residual,0.0,0.001,13.896890902713386,1.0,True,0.0009999945105073481,0.0018385426963853924,0.2196796338672769,0.04164875363251056,0.04164898203543201
path8,8,2,64,equivariant_residual,0.0,0.001,20.845336354070078,1.5,True,2.980500884781967e-05,5.5328307879687344e-05,0.2196796338672769,0.0018638307502587426,0.062473473053148015
path8,8,2,64,adversarial,0.1,0.001,8.69868360031304,0.5,False,0.9999904417452876,0.5003824964957113,0.2196796338672769,6.5239727640692795,0.02606995475013818
path8,8,2,64,adversarial,0.1,0.001,17.39736720062608,1.0,True,0.0009999878807983482,0.0018336118243866828,0.2196796338672769,0.052139278238717966,0.05213990950027636
path8,8,2,64,adversarial,0.1,0.001,26.096050800939118,1.5,True,2.9351944442155762e-05,5.448178321065811e-05,0.2196796338672769,0.0022978420516945467,0.07820986425041454
path8,8,2,64,equivariant_residual,0.1,0.001,8.69868360031304,0.5,False,0.022239790184089232,0.035228009104737,0.2196796338672769,0.5958068042456603,0.027373452487645087
path8,8,2,64,equivariant_residual,0.1,0.001,17.39736720062608,1.0,True,0.00016832269829630052,0.0003309341033745916,0.2196796338672769,0.009222818440914587,0.054746904975290174
