family,size_parameter,represented_nodes,schedule,beta,mae,max_state_error_all_steps,max_state_error_final
barbell,10,20,fixed_4,4.0,0.40233452081280285,0.9409284056093965,2.220446049250313e-16
barbell,10,20,fixed_8,8.0,0.030761184898106708,0.07168409438479281,0.00010929807293169613
barbell,10,20,fixed_12,12.0,0.0021957456642047735,0.0033239060593641162,0.0017677983492735416
barbell,10,20,fixed_20,20.0,3.921925165389917e-05,4.5811919975664475e-05,4.506563191364332e-05
barbell,10,20,fixed_100,100.0,0.0,1.9287498479639178e-22,0.0
barbell,10,20,coefficient_1.5,3.453877639491069,0.4152070415299791,0.9703360613989647,1.4210854715202004e-14
barbell,10,20,coefficient_1.9,4.374911676688687,0.3857852943669662,0.9025663040426773,0.0
barbell,10,20,coefficient_2.0,4.605170185988092,0.37096930182536314,0.8680622556885803,0.0
barbell,10,20,coefficient_2.1,4.835428695287496,0.35181052260260814,0.8233491533040541,0.0
barbell,10,20,coefficient_2.5,5.756462732485115,0.2334802286074198,0.5464957229354414,2.8976820942716586e-14
barbell,10,20,coefficient_3.0,6.907755278982138,0.08898725879097429,0.20810044157196156,7.858333095356329e-08
barbell,100,200,fixed_4,4.0,0.4925245430072384,1.0,0.0
barbell,100,200,fixed_8,8.0,0.49249921628256865,0.9999692308729523,0.0
barbell,100,200,fixed_12,12.0,0.022637875694461213,0.04596359276124719,0.0
barbell,100,200,fixed_20,20.0,4.476928290301663e-05,4.9712508505368036e-05,4.1176533575049135e-05
barbell,100,200,fixed_100,100.0,0.0,1.9287498479639178e-22,0.0
barbell,100,200,coefficient_1.5,6.907755278982138,0.49251563364359574,0.9999999798641029,0.0
barbell,100,200,coefficient_1.9,8.749823353377375,0.4917770492700882,0.9985040728513528,0.0
barbell,100,200,coefficient_2.0,9.210340371976184,0.48717665148632355,0.9891639193899643,0.0
barbell,100,200,coefficient_2.1,9.670857390574993,0.46390200686649224,0.9419073776349592,0.0
barbell,100,200,coefficient_2.5,11.51292546497023,0.05244204879510926,0.1064779904844701,0.0
barbell,100,200,coefficient_3.0,13.815510557964275,0.0019525540617789528,0.003959838278676465,4.460503892245171e-06
barbell,1000,2000,fixed_4,4.0,0.4992502443250846,1.0,0.0
barbell,1000,2000,fixed_8,8.0,0.4992501430577388,1.0,0.0
barbell,1000,2000,fixed_12,12.0,0.499250127510214,0.9999999999475666,0.0
barbell,1000,2000,fixed_20,20.0,5.858146196117442e-05,0.00011254525196169572,4.793295617422366e-06
barbell,1000,2000,fixed_100,100.0,0.0,1.9287498479639178e-22,0.0
barbell,1000,2000,coefficient_1.5,10.361632918473205,0.49925013065729595,1.0,0.0
barbell,1000,2000,coefficient_1.9,13.12473503006606,0.4992469038594981,0.999993545090683,0.0
barbell,1000,2000,coefficient_2.0,13.815510557964274,0.49874445036547665,0.9989871295545797,0.0
barbell,1000,2000,coefficient_2.1,14.506286085862488,0.4757806402227724,0.9529905264530689,0.0
barbell,1000,2000,coefficient_2.5,17.269388197455342,0.0019060286912840777,0.003817782771471082,0.0
barbell,1000,2000,coefficient_3.0,20.72326583694641,3.4878001093538556e-05,6.089330459730373e-05,8.967105697643696e-06
barbell,10000,20000,fixed_4,4.0,0.4999250024421513,1.0,0.0
barbell,10000,20000,fixed_8,8.0,0.4999250014299337,1.0,0.0
barbell,10000,20000,fixed_12,12.0,0.49992500127478995,1.0,0.0
barbell,10000,20000,fixed_20,20.0,0.14241415950138145,0.2848710489469841,0.0
barbell,10000,20000,fixed_100,100.0,0.0,1.9287498479639178e-22,0.0
barbell,10000,20000,coefficient_1.5,13.815510557964275,0.49992500126005307,1.0,0.0
barbell,10000,20000,coefficient_1.9,17.49964670675475,0.49992499839652094,0.9999999942888907,0.0
barbell,10000,20000,coefficient_2.0,18.420680743952367,0.49987492160290176,0.9998998256777806,0.0
barbell,10000,20000,coefficient_2.1,19.341714781149985,0.46311376640847585,0.9263664854724787,0.0
barbell,10000,20000,coefficient_2.5,23.02585092994046,4.998635059873622e-05,9.998769892477354e-05,9.992007221626409e-16
barbell,10000,20000,coefficient_3.0,27.63102111592855,1.0063561093074824e-06,1.3182546365114462e-06,6.94758812369578e-07
barbell,1000000,2000000,fixed_4,4.0,0.4999992500002442,1.0,0.0
barbell,1000000,2000000,fixed_8,8.0,0.49999925000014295,1.0,0.0
barbell,1000000,2000000,fixed_12,12.0,0.4999992500001274,1.0,0.0
barbell,1000000,2000000,fixed_20,20.0,0.499999250000125,1.0,0.0
barbell,1000000,2000000,fixed_100,100.0,0.0,1.928749847963945e-22,0.0
barbell,1000000,2000000,coefficient_1.5,20.72326583694641,0.499999250000125,1.0,0.0
barbell,1000000,2000000,coefficient_1.9,26.24947006013212,0.49999925000012496,1.0,0.0
barbell,1000000,2000000,coefficient_2.0,27.631021115928547,0.49999874998755933,0.9999989999733687,0.0
barbell,1000000,2000000,coefficient_2.1,29.012572171724976,0.2543038698806055,0.5086085026738378,0.0
barbell,1000000,2000000,coefficient_2.5,34.538776394910684,4.7741037319394716e-08,9.426307285307282e-08,1.2191453402365937e-09
barbell,1000000,2000000,coefficient_3.0,41.44653167389282,1.0000172149697838e-09,1.0423174282636824e-09,9.577194592935712e-10
barbell,100000000,200000000,fixed_4,4.0,0.4999999925000001,1.0,0.0
barbell,100000000,200000000,fixed_8,8.0,0.4999999925000001,1.0,0.0
barbell,100000000,200000000,fixed_12,12.0,0.4999999925000001,1.0,0.0
barbell,100000000,200000000,fixed_20,20.0,0.4999999925000001,1.0,0.0
barbell,100000000,200000000,fixed_100,100.0,0.0,1.9287498479676317e-22,0.0
barbell,100000000,200000000,coefficient_1.5,27.63102111592855,0.4999999925000001,1.0,0.0
barbell,100000000,200000000,coefficient_1.9,34.9992934135095,0.4999999925000001,1.0,0.0
barbell,100000000,200000000,coefficient_2.0,36.841361487904734,0.49999998749999836,0.9999999899999964,0.0
barbell,100000000,200000000,coefficient_2.1,38.68342956229997,0.00952397432774939,0.019047948941218203,0.0
barbell,100000000,200000000,coefficient_2.5,46.05170185988092,1.0334333317243872e-10,1.5848931921369295e-10,4.819711296732976e-11
barbell,100000000,200000000,coefficient_3.0,55.2620422318571,9.998668509503262e-13,1.005541501855024e-12,9.944267631567527e-13
barbell,1000000000000,2000000000000,fixed_4,4.0,0.49999999999925,1.0,0.0
barbell,1000000000000,2000000000000,fixed_8,8.0,0.49999999999925,1.0,0.0
barbell,1000000000000,2000000000000,fixed_12,12.0,0.49999999999925,1.0,0.0
